Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1720703409.417255,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.417513,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.41804,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.443458,192.168.1.11,192.168.1.1,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.443909,192.168.1.11,192.168.1.1,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.444216,192.168.1.11,192.168.1.1,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.453873,192.168.1.1,192.168.1.11,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.457755,192.168.1.1,192.168.1.11,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.457862,192.168.1.1,192.168.1.11,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.457924,192.168.1.1,192.168.1.11,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.46229,192.168.1.1,192.168.1.11,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.475346,192.168.1.1,192.168.1.11,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.475468,192.168.1.1,192.168.1.11,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.506498,192.168.1.1,192.168.1.11,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.506638,192.168.1.1,192.168.1.11,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.506714,192.168.1.1,192.168.1.11,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.529692,192.168.1.1,192.168.1.11,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.52974,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.550008,192.168.1.1,192.168.1.11,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.706648,192.168.1.11,192.168.1.1,peoplestackwebexperiments-pa.clients6.google.com.,28,1,
1720703409.70711,192.168.1.11,192.168.1.1,peoplestackwebexperiments-pa.clients6.google.com.,1,1,
1720703409.707414,192.168.1.11,192.168.1.1,peoplestackwebexperiments-pa.clients6.google.com.,65,1,
1720703409.720745,192.168.1.1,192.168.1.11,peoplestackwebexperiments-pa.clients6.google.com.,28,1,
1720703409.720745,192.168.1.1,192.168.1.11,peoplestackwebexperiments-pa.clients6.google.com.,1,1,
1720703409.725385,192.168.1.11,192.168.1.1,peoplestack-pa.clients6.google.com.,28,1,
1720703409.725681,192.168.1.11,192.168.1.1,peoplestack-pa.clients6.google.com.,1,1,
